"subject" "activity" "dataFeatures" "NA"
1 0.29995717 3 0.014082123
1 0.30005315 6 -0.018087248
1 0.30116241 2 -0.0017592965
1 0.30159413 1 -0.044653002
1 0.30171512 3 -0.0070493914
1 0.30363491 1 -0.014656769
1 0.30368927 4 -0.0042428053
1 0.30383319 6 0.1036482
1 0.30388542 1 0.0027680377
1 0.30583985 1 -0.0021923253
1 0.30699599 1 -0.01378698
1 0.30804575 1 -0.023300458
1 0.30830537 1 -0.019882845
1 0.30968525 2 -0.026232277
1 0.31035963 1 -0.054635143
1 0.31076307 4 0.018053586
1 0.31263404 1 -0.026367749
1 0.31277629 3 -0.050409373
1 0.3139389 3 -0.028131107
1 0.31672153 2 -0.023908255
1 0.31932383 6 -0.024865202
1 0.32113983 1 0.0015817951
1 0.32236308 5 0.034225504
1 0.32551283 1 -0.030425049
1 0.32588645 6 0.00081689933
1 0.32599307 1 -0.016638474
1 0.32731657 1 -0.022255821
1 0.32746543 1 -0.03566696
1 0.32858963 1 -0.023303338
1 0.32955346 2 -0.045809874
1 0.33117237 1 -0.028691115
1 0.33156003 1 -0.0074950152
1 0.33216933 1 -0.034585828
1 0.33299252 2 -0.030312276
1 0.33584724 3 0.011445562
1 0.3402085 6 -0.036452984
1 0.34337048 1 -0.014446221
1 0.34355324 3 -0.024165905
1 0.34402821 2 -0.035875128
1 0.34408292 2 -0.019665159
1 0.3444907 3 0.021733464
1 0.34625374 1 -0.018934595
1 0.34696848 6 0.069408647
1 0.34708066 1 -0.037003662
1 0.34859482 1 -0.0092913878
1 0.3490591 1 -0.022003784
1 0.35119884 3 0.021866728
1 0.35382353 3 -0.024879552
1 0.3541929 1 -0.012560935
1 0.35619073 3 -0.051817875
1 0.35845532 3 0.017975385
1 0.35878664 1 -0.016954505
1 0.35919361 1 -0.018079718
1 0.36248249 3 -0.0035526939
1 0.36562924 1 -0.020382593
1 0.37052032 2 -0.008881052
1 0.39365355 6 -0.023633221
1 0.39824941 1 0.027317684
1 0.40209809 3 -0.040365788
1 0.40347433 6 -0.015074404
1 0.41024452 3 -0.0079768275
1 0.41043867 3 -0.064726783
1 0.41983326 3 -0.056165676
1 0.42595606 3 0.02456
1 0.43503687 3 -0.0065917495
1 0.44562097 3 -0.011902709
1 0.4699458 3 -0.033624109
2 0.071035289 3 -0.015656183
2 0.073728786 2 -0.14822575
2 0.078156973 2 -0.027612708
2 0.10222138 3 -0.04865811
2 0.12592012 3 -0.027658255
2 0.14838783 2 -0.036547994
2 0.15366105 3 -0.010077719
2 0.17376905 6 -0.024869125
2 0.17766532 3 -0.070310559
2 0.17991522 2 0.040285843
2 0.18214828 2 -0.010646974
2 0.1821957 2 -0.0016884658
2 0.1844141 1 -0.014817877
2 0.18741915 1 -0.011533248
2 0.19317016 1 -0.010586551
2 0.19471487 1 -0.020176701
2 0.19518889 2 -0.074923063
2 0.19549619 1 -0.016377097
2 0.19648111 2 0.0058967997
2 0.19783456 2 -0.015901763
2 0.1982599 2 -0.0072360841
2 0.19842455 3 -0.027514258
2 0.20396243 1 -0.03234452
2 0.20574701 3 -0.00517762
2 0.20731083 2 -0.19305262
2 0.20894174 1 -0.020536706
2 0.20906379 2 -0.049359552
2 0.21102476 1 -0.00058166814
2 0.21223054 2 0.0029777676
2 0.21485672 3 -0.0085199829
2 0.21535112 1 0.0069834544
2 0.21690075 1 -0.0062597255
2 0.21881237 5 -0.055128494
2 0.22294492 1 0.0096186354
2 0.22326915 2 -0.00014139722
2 0.22715659 3 -0.022146672
2 0.22839376 1 -0.021200162
2 0.22867274 3 -0.045504377
2 0.22981714 1 -0.0026481752
2 0.23157481 4 0.029387192
2 0.23247724 6 -0.015840013
2 0.23483919 3 0.0081011057
2 0.23646561 2 -0.036365249
2 0.23655703 2 -0.0061942794
2 0.23748279 1 0.0021969913
2 0.23820197 3 -0.0026928807
2 0.2388571 2 -0.022813178
2 0.23981797 4 0.082443951
2 0.24016527 1 0.014778169
2 0.24042087 1 0.0010854188
2 0.24200036 2 -0.051685995
2 0.24274255 2 0.0099775927
2 0.24387 1 0.011466552
2 0.24393099 3 -0.0040036613
2 0.24402748 2 -0.0043812777
2 0.24514236 2 -0.015805672
2 0.24683451 2 -0.043831863
2 0.24829116 3 -0.060992823
2 0.24841948 4 -0.019568651
2 0.24860491 1 -0.086163379
2 0.24934321 1 -0.003410981
2 0.24987037 1 -0.0075291689
2 0.25100692 2 0.027292221
2 0.25184336 3 -0.052219039
2 0.25186651 2 -0.030378942
2 0.25204831 1 -0.00060425372
2 0.25308441 3 -0.03528093
2 0.25309467 5 -0.044192268
2 0.25438287 2 0.0093508548
2 0.25477841 1 -0.033032031
2 0.25615464 2 0.03261012
2 0.25631314 2 -0.016422148
2 0.2563942 2 -0.012968956
2 0.25717778 5 -0.02328523
2 0.25720873 6 -0.018170348
2 0.25854868 6 -0.032957509
2 0.25953975 3 0.0055178016
2 0.26012783 3 -0.020200821
2 0.26086953 1 -0.015550952
2 0.26149147 2 -0.040122792
2 0.26156636 3 -0.020792241
2 0.26160863 3 -0.073315382
2 0.26173982 1 -0.016742272
2 0.26222243 1 -0.015316616
2 0.26232825 5 -0.023257054
2 0.26238254 6 -0.020021626
2 0.26294232 2 0.0074128076
2 0.26374279 3 -0.02958616
2 0.26426913 1 -0.011202192
2 0.26559921 1 -0.015936305
2 0.26569797 4 -0.016850926
2 0.26580166 1 -0.016486852
2 0.26632973 4 -0.014018832
2 0.26663115 1 -0.043309471
2 0.2673108 6 -0.017739291
2 0.26780915 1 -0.013846287
2 0.26881216 6 -0.017686334
2 0.26889811 2 0.027477206
2 0.2689962 4 -0.012391548
2 0.26902515 4 -0.013122593
2 0.26906631 5 -0.027685967
2 0.26963228 2 -0.037614803
2 0.27029822 5 -0.032613869
2 0.27047249 4 -0.0089373643
2 0.27066724 6 -0.018234096
2 0.27074746 4 -0.0043332488
2 0.27077035 6 -0.018885449
2 0.27097605 4 -0.01515646
2 0.27116593 5 -0.025972908
2 0.27124829 1 -0.0060117091
2 0.27133883 5 -0.029954058
2 0.27138623 3 -0.042483426
2 0.27143024 5 -0.026177026
2 0.27160041 4 -0.01596493
2 0.27191593 6 -0.019731212
2 0.27204575 5 -0.024955862
2 0.27205902 6 -0.021271356
2 0.27225459 5 -0.025051205
2 0.27252874 5 -0.020954013
2 0.27273142 5 -0.028275581
2 0.27295758 5 -0.022500824
2 0.27326045 6 -0.016496129
2 0.27327371 4 -0.013628537
2 0.27379132 4 -0.041945691
2 0.27398753 6 -0.013808599
2 0.27452047 2 -0.0078204354
2 0.27454383 5 -0.023145294
2 0.27456229 6 -0.015755629
2 0.27460055 5 -0.02503513
2 0.27479909 4 -0.012039553
2 0.27483295 5 -0.027847788
2 0.27486428 4 -0.01561837
2 0.27505303 4 -0.024059404
2 0.27524573 4 -0.017001233
2 0.27524826 6 -0.016467107
2 0.27540653 4 -0.019426969
2 0.27542397 4 -0.0049399286
2 0.27548482 5 -0.02605042
2 0.27557925 5 -0.018936424
2 0.27563911 5 -0.015565524
2 0.27566806 4 -0.016603733
2 0.2757457 5 -0.010371994
2 0.27574674 4 -0.015388072
2 0.27579491 4 -0.034804666
2 0.27579996 3 0.0018368697
2 0.2758409 5 -0.018403826
2 0.27585859 6 -0.018573541
2 0.27609539 4 -0.018046144
2 0.27616038 6 -0.018258159
2 0.27625455 4 -0.016985093
2 0.27627058 5 -0.0072991585
2 0.27628845 6 -0.020230299
2 0.27631974 6 -0.017844672
2 0.27642711 5 -0.026277565
2 0.27655316 5 -0.014799101
2 0.27664638 4 -0.0049748937
2 0.27679437 4 -0.017846957
2 0.27683403 6 -0.016036583
2 0.27685853 2 0.011056542
2 0.27704497 5 -0.016760148
2 0.27714817 6 -0.017613671
2 0.27723542 4 -0.025677001
2 0.27724091 4 -0.01767369
2 0.27740299 5 -0.017215318
2 0.27746102 5 -0.01584543
2 0.27746452 5 -0.022945736
2 0.27747775 6 -0.017918468
2 0.27767523 4 -0.012379484
2 0.27792121 5 -0.016941868
2 0.27804665 4 -0.013597299
2 0.27811098 5 -0.020942513
2 0.27815992 4 -0.0076678258
2 0.27816503 2 0.027962971
2 0.27822455 4 -0.016181738
2 0.2782907 4 -0.014536086
2 0.27829493 4 -0.022664347
2 0.27848792 5 -0.012224534
2 0.27859589 5 -0.015231928
2 0.27860714 5 -0.010041872
2 0.27869543 6 -0.017640511
2 0.27871074 4 -0.016793927
2 0.27873663 3 -0.048279124
2 0.27879967 4 -0.015633084
2 0.27911103 1 -0.033291612
2 0.27915178 5 -0.021879444
2 0.27921995 5 -0.018620399
2 0.27925474 4 -0.012044574
2 0.27933873 4 -0.0073438173
2 0.27941259 5 -0.016093153
2 0.27972876 5 -0.017344364
2 0.27974586 5 -0.018271026
2 0.27981772 4 -0.010396061
2 0.28001074 6 -0.01504451
2 0.28016952 5 -0.014362437
2 0.28020794 2 -0.01113497
2 0.28021898 5 -0.014917572
2 0.28022445 4 -0.028037933
2 0.28026202 6 -0.018697516
2 0.28026398 3 0.0060423653
2 0.28028279 4 -0.019175262
2 0.28062969 6 -0.018454053
2 0.28158555 2 -0.0075743135
2 0.28168951 6 -0.018017943
2 0.28193083 5 -0.004880615
2 0.2820615 4 -0.013704805
2 0.28245689 5 -0.014282925
2 0.28312886 6 -0.017412761
2 0.28420274 1 0.013704674
2 0.2843065 6 -0.017380345
2 0.28431213 4 -0.015594273
2 0.28433754 3 0.013821312
2 0.28495022 2 -0.017809348
2 0.28509055 2 -0.011054655
2 0.28540286 4 0.002355779
2 0.2856233 3 -0.0060363793
2 0.28567994 6 -0.021402652
2 0.2858303 2 -0.0046677341
2 0.28590496 5 -0.0077447295
2 0.28602671 5 -0.013163359
2 0.28637788 2 -0.037529434
2 0.28651908 6 -0.016332634
2 0.28711862 3 -0.020052061
2 0.2871613 3 -0.010106916
2 0.28722297 5 -0.010646634
2 0.28732862 5 -0.030313825
2 0.28744253 1 -0.050273681
2 0.28764759 6 -0.0031577634
2 0.28767511 5 -0.030786823
2 0.28786223 6 -0.017068863
2 0.28806864 1 -0.032201474
2 0.28837469 5 -0.0085476599
2 0.28841575 5 -0.003485395
2 0.2889269 6 -0.016270962
2 0.28981652 6 -0.023625983
2 0.29030031 1 -0.044250443
2 0.29089459 6 -0.012652477
2 0.29112809 1 0.015567293
2 0.29122454 6 -0.01583904
2 0.29238966 6 -0.014798532
2 0.29301384 6 -0.01607838
2 0.29389749 5 0.01115091
2 0.29417901 3 -0.034406963
2 0.29475553 2 -0.062461304
2 0.29490692 6 -0.017273605
2 0.29493279 6 -0.018148994
2 0.29648714 4 -0.014684879
2 0.29659805 1 -0.026108897
2 0.29771925 1 -0.020939986
2 0.29819093 2 -0.023188147
2 0.29926682 5 0.011798517
2 0.29960665 3 -0.014975152
2 0.29997571 3 -0.01160794
2 0.3009048 6 -0.023610414
2 0.30133385 3 -0.056094277
2 0.30362162 6 -0.017156999
2 0.3038402 6 -0.017496054
2 0.30835585 3 0.015060179
2 0.30870458 1 -0.024987159
2 0.30880812 1 -0.022128064
2 0.31001933 3 -0.055972223
2 0.31107792 5 -0.019430625
2 0.31178044 2 0.013873623
2 0.31286994 1 -0.014139669
2 0.31454279 6 -0.015639484
2 0.31615359 3 0.0012773598
2 0.31649338 1 -0.042248362
2 0.31856167 2 -0.027020624
2 0.31870911 1 -0.037635508
2 0.31930656 3 -0.010016849
2 0.32008469 1 -0.010838647
2 0.323685 6 -0.015714002
2 0.32505052 1 -0.029803725
2 0.32555586 1 -0.011187423
2 0.32773332 6 -0.012972104
2 0.32915435 1 -0.034418332
2 0.32955877 1 -0.029189921
2 0.32958399 3 0.0067191725
2 0.33014802 5 0.01898283
2 0.33150518 1 -0.036584496
2 0.33304231 3 -0.01019258
2 0.33314426 1 -0.043446917
2 0.33322745 3 -0.024943465
2 0.33806106 1 -0.0413713
2 0.33999093 6 -0.039323711
2 0.34002771 1 -0.026012234
2 0.34969095 1 -0.030496088
2 0.35341932 1 -0.024866761
2 0.35480453 3 -0.018153403
2 0.35552927 1 -0.023789742
2 0.35782982 1 -0.013519015
2 0.36081239 2 -0.03391096
2 0.36261593 2 -0.072425218
2 0.36545296 1 -0.01988365
2 0.37772556 2 -0.043437113
2 0.37962251 1 -0.0066834563
2 0.39276304 3 -0.059173884
2 0.39558207 3 -0.012193647
2 0.41085939 3 -0.024854391
2 0.41364162 4 -0.15839475
2 0.4228405 3 -0.0098579907
2 0.42604818 3 -0.058615109
2 0.46767458 3 -0.015139256
3 -0.18139412 4 0.32412953
3 -0.0615055 4 0.17408171
3 0.058825669 2 -0.1086128
3 0.091124312 2 -0.11287298
3 0.093068135 4 0.15040887
3 0.11336129 3 0.017742643
3 0.12138473 2 -0.10053922
3 0.12803974 2 -0.17149004
3 0.12888592 2 -0.013788855
3 0.13669746 2 -0.055384001
3 0.13869448 3 0.0035650465
3 0.16430905 4 0.077554196
3 0.16496565 3 -0.012368938
3 0.17331223 2 -0.10352888
3 0.17444228 3 -0.035646306
3 0.17543173 2 -0.055660281
3 0.17659603 3 -0.022868866
3 0.17984498 2 0.00037919422
3 0.18181686 1 -0.026174902
3 0.18861068 3 -0.029963971
3 0.18985623 2 -0.010557565
3 0.1954509 3 -0.0087076916
3 0.19855719 3 0.0092565328
3 0.20035178 1 -0.034791181
3 0.20078516 3 -0.034157855
3 0.20231704 1 -0.035684596
3 0.20319549 1 -0.038446535
3 0.20481442 2 0.0044999325
3 0.20908092 3 -0.00072079571
3 0.20922994 2 0.026107118
3 0.21042944 2 -0.16110183
3 0.21317248 2 -0.036070128
3 0.21323468 2 0.036049984
3 0.21549677 2 -0.012975155
3 0.21803742 2 -0.014925637
3 0.21824853 2 -0.033435546
3 0.21856391 1 -0.009333407
3 0.21875287 1 -0.030280572
3 0.2198336 2 0.0014093012
3 0.22028647 2 -0.14529952
3 0.22209307 1 -0.0069243673
3 0.22349818 1 -0.0047644234
3 0.22365083 3 -0.014994443
3 0.2269563 3 -0.011145835
3 0.22801284 3 -0.0042838712
3 0.22819872 1 -0.0087733458
3 0.22828647 2 -0.049432753
3 0.23159725 4 -0.023177324
3 0.23177399 1 0.0049371571
3 0.23201142 1 -0.017807834
3 0.2336308 2 -0.019329601
3 0.23433414 1 0.0021469248
3 0.23601277 5 -0.026913144
3 0.23717016 1 0.027868452
3 0.2374203 1 -0.032180843
3 0.23965834 1 -0.021141409
3 0.23982421 6 -0.012820186
3 0.24005401 2 0.034980469
3 0.24035356 1 -0.035939737
3 0.24075493 5 -0.015526029
3 0.24147544 6 -0.025622039
3 0.24339753 2 -0.052324131
3 0.24429634 4 -0.055037125
3 0.24546849 1 -0.050384644
3 0.24592767 1 -0.0079523616
3 0.24745185 1 -0.0054215092
3 0.24782504 6 -0.019898451
3 0.24795242 1 -0.025486891
3 0.24847403 5 -0.037999251
3 0.24860852 2 0.0091259761
3 0.24951885 3 0.0039261371
3 0.25008823 6 -0.016151777
3 0.25026411 4 0.026935894
3 0.25170106 3 0.0035481818
3 0.25235428 2 -0.0053129762
3 0.25401543 4 -0.010676678
3 0.25480481 1 0.0072181978
3 0.25487923 2 0.0098186253
3 0.25499622 1 -0.054201115
3 0.25600381 5 -0.050236136
3 0.25643361 1 -0.019301241
3 0.25651512 6 -0.014986371
3 0.25657896 6 -0.027865744
3 0.25841772 1 -0.018317884
3 0.25924966 6 -0.010370885
3 0.26005764 3 -0.05318923
3 0.26049931 3 -0.016522642
3 0.26051905 4 0.0098193055
3 0.26184609 4 0.012139631
3 0.26217511 4 -0.062819481
3 0.26222974 2 -0.016215127
3 0.26248578 2 -0.029029148
3 0.26287883 5 -0.022379352
3 0.26295204 6 -0.021930064
3 0.26307307 6 -0.020708401
3 0.2631234 6 -0.022800213
3 0.26361114 3 -0.012362911
3 0.26372531 1 -0.011218524
3 0.26377017 5 -0.021187085
3 0.26484622 1 0.0065977921
3 0.26561363 1 -0.019763709
3 0.26563017 6 -0.018372323
3 0.26573827 6 -0.021703052
3 0.26582646 5 -0.031669222
3 0.26633272 6 -0.021374101
3 0.26633797 6 -0.015746865
3 0.26703075 1 -0.016815551
3 0.26731751 5 -0.032355179
3 0.26773362 1 -0.039672038
3 0.26788442 4 0.0060403153
3 0.26812381 2 -0.088037829
3 0.26825472 6 -0.018749283
3 0.26855745 4 -0.014486297
3 0.26915611 4 -0.015872993
3 0.26924174 5 -0.025529403
3 0.26927723 5 -0.032606502
3 0.27010097 5 -0.023550544
3 0.27055607 4 -0.0061249184
3 0.27072544 1 -0.011880203
3 0.27076432 6 -0.019818107
3 0.2708317 5 -0.027725151
3 0.27088078 5 -0.038723153
3 0.27118439 4 -0.01149042
3 0.27134909 4 -0.015977023
3 0.2714901 6 -0.019702445
3 0.27168092 6 -0.018231844
3 0.27185147 5 -0.01783494
3 0.27218141 6 -0.018131841
3 0.2721901 6 -0.017178761
3 0.27225339 1 -0.051844795
3 0.27240728 4 -0.085983504
3 0.27263222 6 -0.016716655
3 0.27267681 5 -0.017661164
3 0.27270038 6 -0.017679919
3 0.2727471 5 -0.023042517
3 0.27274802 6 -0.015981187
3 0.27287741 1 -0.033118448
3 0.27293268 5 -0.039067631
3 0.27305103 5 -0.020057779
3 0.27311074 5 -0.019947006
3 0.2731223 6 -0.024140671
3 0.27317626 3 -0.02538602
3 0.27319016 5 -0.023302776
3 0.27325437 5 -0.026320608
3 0.27358776 4 0.0066082668
3 0.2736521 1 0.0051452093
3 0.27365544 6 -0.015767117
3 0.27376357 4 -0.013785705
3 0.27392022 5 -0.015952619
3 0.2739514 2 -0.02879277
3 0.27408717 6 -0.014713512
3 0.27412441 5 -0.029926296
3 0.27416584 6 -0.018334288
3 0.27416643 4 -0.014211302
3 0.27421965 6 -0.020438819
3 0.27424221 6 -0.016037614
3 0.27439932 4 -0.0017697185
3 0.27441806 2 -0.056769823
3 0.274487 6 -0.015155836
3 0.27456461 5 -0.027991273
3 0.27463913 4 -0.014627271
3 0.27464524 4 -0.015177054
3 0.27487138 5 -0.019577012
3 0.27500006 4 -0.018702893
3 0.27507698 6 -0.027643686
3 0.27513809 6 -0.015470307
3 0.27526771 5 -0.015050466
3 0.27527453 6 -0.0191315
3 0.2752802 6 -0.018206091
3 0.27531042 6 -0.018139973
